time, x0, x1, x2, x3, x4, x5, x6, x7
7.219255727690732159e-05, 1.999856139142901279e+00, 5.014386085709849478e-02, 4.999983132208991876e-02, 4.999948117518049351e-02, 5.292171436678847205e-07, -1.438584583333261707e-04, 2.000144039927332695e+00, 0.000000000000000000e+00
1.444556840135183913e-04, 1.999712148059674677e+00, 5.028785194032515948e-02, 4.999966247929429897e-02, 4.999896204625685348e-02, 1.079563179263000505e-06, -2.878681581351717213e-04, 2.000288231070467049e+00, 0.000000000000000000e+00
2.889819374867404764e-04, 1.999424197106052237e+00, 5.057580289394746076e-02, 4.999932479370305938e-02, 4.999792417629726066e-02, 2.242342186152612086e-06, -5.759192076189101686e-04, 2.000576644618727862e+00, 0.000000000000000000e+00
5.780344444331847551e-04, 1.998848420025075567e+00, 5.115157997492451175e-02, 4.999864942252058020e-02, 4.999584960636670877e-02, 4.816629641669052717e-06, -1.152147549737798753e-03, 2.001153596788411981e+00, 0.000000000000000000e+00
1.156139458326073313e-03, 1.997697364967497391e+00, 5.230263503250263957e-02, 4.999729868015562184e-02, 4.999170416398870942e-02, 1.096110540085660873e-05, -2.305108425413985879e-03, 2.002308001621737166e+00, 0.000000000000000000e+00
2.312349486111850427e-03, 1.995397249665358252e+00, 5.460275033464145888e-02, 4.999459719542569819e-02, 4.998342571553451852e-02, 2.723602096289239687e-05, -4.613046200396226509e-03, 2.004618814875713362e+00, 0.000000000000000000e+00
4.624769541683403790e-03, 1.990804985497038659e+00, 5.919501450296105888e-02, 4.998919422596585782e-02, 4.996691348364935142e-02, 7.573488431696957660e-05, -9.236993676679121357e-03, 2.009248468644961871e+00, 0.000000000000000000e+00
9.249609652826510514e-03, 1.981652220695814925e+00, 6.834777930418482750e-02, 4.997838828704617015e-02, 4.993405802435831736e-02, 2.365398078750404853e-04, -1.851727029963795568e-02, 2.018539988849372246e+00, 0.000000000000000000e+00
1.387444976396961724e-02, 1.972541674258332156e+00, 7.745832574166756912e-02, 4.996758234812648247e-02, 4.990142471717841366e-02, 4.824268773155797677e-04, -2.784085500896046547e-02, 2.027874594988035017e+00, 0.000000000000000000e+00
1.849928987511272396e-02, 1.963473160891674008e+00, 8.652683910832557890e-02, 4.995677640920679480e-02, 4.986901079835528300e-02, 8.134037446457683101e-04, -3.720793522206144316e-02, 2.037252477242120108e+00, 0.000000000000000000e+00
2.312412998625583069e-02, 1.954446489822245780e+00, 9.555351017775400024e-02, 4.994597047028710712e-02, 4.983681507260266652e-02, 1.229478264085290956e-03, -4.661870717618324389e-02, 2.046673833044155177e+00, 0.000000000000000000e+00
3.237381020854204761e-02, 1.936517971732768517e+00, 1.134820282672314024e-01, 4.992435859244773871e-02, 4.977307694180939379e-02, 2.316955495204478434e-03, -6.557206186871136766e-02, 2.065647702111798267e+00, 0.000000000000000000e+00
4.162349043082826106e-02, 1.918754604296807553e+00, 1.312453957031917695e-01, 4.990274671460837030e-02, 4.971020786595971297e-02, 3.744944016314720025e-03, -8.470251530760079806e-02, 2.084797800870858087e+00, 0.000000000000000000e+00
5.087317065311447450e-02, 1.901154804999030112e+00, 1.488451950009696823e-01, 4.988113483676900189e-02, 4.964820665925642751e-02, 5.513559646440145678e-03, -1.040117634556156495e-01, 2.104125826469897209e+00, 0.000000000000000000e+00
6.937253109768690140e-02, 1.866439874998548021e+00, 1.835601250014516905e-01, 4.983791108109025814e-02, 4.952681003321660752e-02, 1.007337534611547729e-02, -1.431733871707295269e-01, 2.143322399299693259e+00, 0.000000000000000000e+00
8.787189154225932830e-02, 1.832361222413563473e+00, 2.176387775864365437e-01, 4.979468732541151438e-02, 4.940888667994967898e-02, 1.599792356905535215e-02, -1.830704125391565962e-01, 2.183250900510029791e+00, 0.000000000000000000e+00
1.063712519868317552e-01, 1.798907182420120598e+00, 2.510928175798793904e-01, 4.975146356973277062e-02, 4.929443746257859693e-02, 2.328918002216608454e-02, -2.237164818180042980e-01, 2.223924971494891434e+00, 0.000000000000000000e+00
1.248706124314041821e-01, 1.766066319073942514e+00, 2.839336809260576411e-01, 4.970823981405402686e-02, 4.918346381612724583e-02, 3.194960072966030601e-02, -2.651254898458103026e-01, 2.265358505657791177e+00, 0.000000000000000000e+00
1.433699728759766090e-01, 1.733827401859322492e+00, 3.161725981406771635e-01, 4.966501605837528310e-02, 4.907596752341393531e-02, 4.198212076198352960e-02, -3.073116057743626173e-01, 2.307565670367699440e+00, 0.000000000000000000e+00
1.803686937651214628e-01, 1.671111431205398956e+00, 3.788885687946008662e-01, 4.957856854701779559e-02, 4.887141533736998056e-02, 6.617744799519564847e-02, -3.940731418234831307e-01, 2.394358863580148711e+00, 0.000000000000000000e+00
2.173674146542663166e-01, 1.610673421823064722e+00, 4.393265781769350453e-01, 4.949212103566030807e-02, 4.868080139347388119e-02, 9.590812846569825301e-02, -4.841199463226000810e-01, 2.484423387000447292e+00, 0.000000000000000000e+00
2.543661355434111981e-01, 1.552430658898394933e+00, 4.975693411016050560e-01, 4.940567352430282055e-02, 4.850415118234505107e-02, 1.312147700276695972e-01, -5.775753929210561965e-01, 2.577882588787316909e+00, 0.000000000000000000e+00
2.913648564325560519e-01, 1.496303425251328312e+00, 5.536965747486717326e-01, 4.931922601294533304e-02, 4.834149512019116079e-02, 1.721455965690164847e-01, -6.745674835192345675e-01, 2.674864440424933765e+00, 0.000000000000000000e+00
