a    b    distance0    NDraws    time    dist_threshold1    
0.499877152041    0.500660170854    2.64970004876e-05    1    0.602938175201    5.25085741547e-05    
0.500017189547    0.500742982334    1.18328178296e-05    2    1.19007706642    5.25085741547e-05    
0.499888727585    0.499380380456    2.80890359057e-05    9    5.23247003555    5.25085741547e-05    
0.50004055471    0.500128307919    1.02210686949e-05    1    0.565507173538    5.25085741547e-05    
0.499946881633    0.498969633336    1.84153868501e-05    1    0.589619874954    5.25085741547e-05    
0.499821196646    0.499860439815    3.97033478312e-05    1    0.566866159439    5.25085741547e-05    
0.500100538042    0.499213953302    2.65016424061e-05    1    0.613030195236    5.25085741547e-05    
0.499953707957    0.501053889167    2.55649538679e-05    1    0.591470956802    5.25085741547e-05    
0.499852506385    0.501564100715    4.72950559801e-05    2    1.18553590775    5.25085741547e-05    
0.499999881496    0.499409977276    1.15941039078e-05    2    1.16127586365    5.25085741547e-05    
