a    b    distance0    NDraws    time    dist_threshold1    
0.499989716547    0.499987188721    2.04354415077e-06    2    1.1597328186    9.17465121862e-06    
0.500013242418    0.500146666903    3.2388984657e-06    1    0.60729598999    9.17465121862e-06    
0.500008435172    0.500287527464    4.33356943204e-06    3    1.69364500046    9.17465121862e-06    
0.500005093998    0.500486760608    8.8319739937e-06    8    4.6426179409    9.17465121862e-06    
0.499986590686    0.500359576216    8.85959520936e-06    1    0.624429941177    9.17465121862e-06    
0.500028432329    0.499956266792    4.75963399726e-06    2    1.22046804428    9.17465121862e-06    
0.49999480865    0.500023383651    5.52752022705e-07    1    0.657835006714    9.17465121862e-06    
0.499964264002    0.500007628512    8.28085227734e-06    4    2.70781302452    9.17465121862e-06    
0.500000268478    0.50001503792    2.5260860252e-07    1    0.882189035416    9.17465121862e-06    
0.500018225078    0.499794340968    6.61493570434e-06    2    1.45269012451    9.17465121862e-06    
