a    b    distance0    NDraws    time    dist_threshold1    
0.500087792104    0.500973421017    2.48708747091e-05    5    2.87576508522    2.59867224878e-05    
0.499942001792    0.49922504804    1.80863541474e-05    4    2.30080699921    2.59867224878e-05    
0.50004602828    0.500736517959    1.32181541804e-05    2    1.15958786011    2.59867224878e-05    
0.499971783282    0.499156136547    1.31631829838e-05    1    0.592029809952    2.59867224878e-05    
0.500056851753    0.499784755592    1.11991901005e-05    5    2.85671305656    2.59867224878e-05    
0.499950115842    0.500151941073    1.03988529346e-05    6    3.46527004242    2.59867224878e-05    
0.500072342523    0.500660336152    1.9659523938e-05    4    2.48509216309    2.59867224878e-05    
0.499937495877    0.499596170644    1.60148307533e-05    2    1.17187905312    2.59867224878e-05    
0.499920649377    0.499065391685    2.46120458505e-05    2    1.20176720619    2.59867224878e-05    
0.49997071716    0.499880515024    7.55487959602e-06    1    0.617900133133    2.59867224878e-05    
