a    b    distance0    NDraws    time    dist_threshold1    
0.499993882411    0.499994212401    1.892766604e-07    2    1.18716001511    1.30222514782e-06    
0.499998569169    0.500037104237    8.84717379218e-07    1    0.637988090515    1.30222514782e-06    
0.500001523115    0.500049437991    1.16502406453e-06    1    0.63240814209    1.30222514782e-06    
0.499997008084    0.500038887608    9.33639157983e-07    1    0.622488975525    1.30222514782e-06    
0.499992408157    0.499999857586    1.42064955663e-07    1    0.589983940125    1.30222514782e-06    
0.499999432789    0.499953595456    1.25228894211e-06    3    1.81153202057    1.30222514782e-06    
0.500002911303    0.500018956077    5.01702818067e-07    1    0.595840930939    1.30222514782e-06    
0.500000771329    0.500035919315    8.11573549707e-07    1    0.639248847961    1.30222514782e-06    
0.500006023484    0.499996595427    1.19555742972e-07    3    1.80154418945    1.30222514782e-06    
0.499998869931    0.500025671039    5.01662929734e-07    2    1.18624281883    1.30222514782e-06    
